POSX	POSY	EDEP	EKIN	FullEne
-0.187798	-5.87916	40.5	0	0
-3.67672	-6.85843	40.5	0	0
-6.10363	4.09318	40.5	0	0
-5.48368	-6.92463	40.5	0	0
-0.344998	4.45059	40.5	0	0
0.838777	3.1468	40.5	0	0
-4.71554	2.03106	40.5	0	0
-3.76229	4.69739	40.5	0	0
1.56341	-3.59739	40.438	0	0
2.16894	-2.13995	40.5	0	0
0.801625	2.89022	40.5	0	0
-4.64273	-2.75073	40.5	0	0
-5.5796	-1.84951	40.5	0	0
-1.86194	-0.0182333	39.346	0	0
-6.31411	-6.19926	40.5	0	0
-4.91155	6.96873	40.5	0	0
-4.66776	0.401338	40.5	0	0
-1.88198	-4.86418	39.9776	0	0
-2.10472	1.37659	40.5	0	0
-6.41627	1.54239	40.5	0	0
-5.93651	2.16725	40.5	0	0
-1.69599	-6.44275	40.5	0	0
-1.78435	2.50944	40.5	0	0
-1.33779	-4.60837	40.5	0	0
-4.95902	-6.00656	40.5	0	0
-6.83211	-6.88941	36.7414	0	0
-4.26963	2.60844	40.5	0	0
-2.74951	3.11034	40.5	0	0
-5.61438	3.99951	40.5	0	0
-6.43502	2.44771	40.5	0	0
-4.5591	-1.94512	40.5	0	0
-3.94506	6.62308	38.6516	0	0
-5.46341	1.1187	40.5	0	0
-4.42363	1.59997	40.5	0	0
3.44763	2.82418	39.9782	0	0
-1.28155	-3.33205	40.5	0	0
-5.92903	-1.49602	40.5	0	0
-1.18102	0.414602	40.1348	0	0
-1.75692	1.43339	40.5	0	0
-5.09125	-6.40749	40.5	0	0
-5.6809	-6.18716	40.5	0	0
-5.72827	-0.713413	40.5	0	0
-1.40068	4.91568	40.5	0	0
-4.63596	6.48248	40.5	0	0
-6.45946	1.43465	40.5	0	0
-1.0846	-2.45232	40.0418	0	0
-6.07628	-1.47484	40.5	0	0
3.29786	-5.90359	39.8664	0	0
-6.80451	6.25732	40.5	0	0
-6.27357	1.36707	40.5	0	0
-0.273306	0.793506	40.5	0	0
-6.09464	2.19467	40.5	0	0
-5.75403	-6.28432	40.5	13.5	13.5
-4.45167	0.696881	40.5	0	0
-2.67927	-0.521258	40.5	0	0
-3.29536	6.46088	39.2921	0	0
-5.65091	0.945304	40.5	0	0
-3.40952	-1.39259	40.5	0	0
-5.79049	6.69406	40.5	0	0
-6.28959	-4.06607	40.5	0	0
-3.34878	3.28415	40.5	0	0
-2.38864	5.05319	40.5	0	0
-5.18622	5.4306	40.5	0	0
-5.56275	6.11568	40.5	0	0
-2.97255	4.21322	40.5	0	0
-2.75996	0.840731	40.5	0	0
-6.37861	0.449491	40.5	5.32459	5.32459
-5.5914	-1.3557	40.5	0	0
-5.86523	0.770547	40.5	0	0
1.93319	-3.24163	40.5	0	0
-3.77103	1.22166	40.5	0	0
-3.56159	0.292783	40.5	0	0
-6.77858	4.76875	40.5	0	0
-3.36697	-2.46159	40.5	0	0
-0.887961	-0.630714	39.4026	0	0
5.30631	-3.08118	39.4475	0	0
-3.1376	0.989272	40.5	0	0
-1.86362	-4.19109	40.5	0	0
-4.94183	2.98314	32.5265	0	0
-4.51573	5.28558	40.5	0	0
-6.53234	4.35039	40.5	11.5668	11.5668
-2.7698	-6.84367	40.5	0	0
-1.94232	-5.63211	40.5	0	0
0.602215	-5.75573	39.9524	0	0
-0.413245	-5.21143	40.5	0	0
-1.8889	1.23362	40.5	0	0
-3.07037	-0.942394	40.5	0	0
-2.82404	3.74196	40.5	0	0
-3.49555	-5.57522	40.5	0	0
-6.59815	3.29103	29.6126	0	0
-5.32262	-2.92962	40.5	0	0
-0.73289	0.363523	40.5	0	0
-3.13749	-1.88532	34.5989	5.91928	5.91928
-2.98586	2.67161	40.5	0	0
-5.6317	6.31771	40.5	0	0
-3.75333	1.89069	40.5	0	0
-6.19431	1.27636	40.5	0	0
-3.12024	-0.544748	40.5	0	0
-4.41748	-2.42618	40.3652	0	0
-5.87083	5.60241	40.5	0	0
-2.56603	-1.17114	40.5	0	0
-0.385798	3.96318	40.5	0	0
1.15472	-3.64051	39.492	0	0
-0.533751	-0.319278	40.5	0	0
-2.63751	0.964325	40.5	0	0
-5.18934	5.13599	40.5	0	0
-2.05154	2.17883	35.3543	0	0
-6.25557	-1.3953	40.5	0	0
-2.64087	4.3465	40.5	0	0
-6.41414	-5.99936	40.5	0	0
-5.74412	-2.29353	40.5	0	0
2.76431	-1.24211	35.187	0	0
-2.69521	1.01002	40.5	0	0
-3.18706	-6.79975	40.5	0	0
-3.45003	-3.90643	40.5	0	0
-6.15068	-1.36875	40.5	0	0
-1.95166	3.53771	40.5	0	0
-6.37148	-2.98563	40.5	0	0
-4.37786	-4.07825	40.5	0	0
-4.8037	2.43119	40.5	0	0
-1.88836	7.02573	0	33.7571	33.7571
-6.39246	-6.81907	40.5	0	0
-4.15754	5.05336	31.7835	0	0
-4.60483	0.421312	40.5	0	0
-6.0424	1.20631	40.5	0	0
-4.42839	-2.32905	40.5	0	0
-3.34481	2.58524	40.5	0	0
-6.6484	-1.82019	40.5	0	0
-5.99097	-5.28766	31.9819	0	0
-1.73394	-4.37806	40.5	0	0
-6.36432	6.99044	40.5	0	0
-6.50045	-0.333616	40.5	0	0
-4.37133	4.99031	0	40.5	40.5
-0.608438	1.34168	40.5	0	0
-2.3995	0.645661	40.5	0	0
-4.46778	-5.90427	40.5	0	0
-2.06501	-5.2644	40.5	0	0
-5.69977	6.15722	40.5	9.85542	9.85542
-6.11007	6.60629	40.5	0	0
-6.25146	1.29631	40.5	13.5	13.5
-4.85584	-2.80755	40.5	0	0
-3.72013	4.48207	40.5	0	0
-2.42497	4.5274	39.9579	0	0
-2.54336	3.90046	40.5	0	0
-3.11967	-2.48647	40.5	0	0
-2.35721	1.84155	40.5	0	0
-3.60369	-3.27111	40.5	0	0
-1.67259	1.36123	40.5	0	0
-2.27639	6.58054	40.5	0	0
-4.53153	2.20825	40.5	0	0
-5.98663	3.14837	40.5	0	0
-4.06554	4.48872	40.5	0	0
-6.00432	-6.45453	40.5	0	0
-4.59279	5.81427	40.5	0	0
-1.79247	-5.49375	40.5	0	0
-6.09781	-5.94304	40.2412	0	0
-5.70843	2.24329	40.5	0	0
-5.53076	-5.16635	40.5	0	0
-5.9429	-0.162649	35.0504	0	0
-4.26929	-6.16144	40.5	0	0
-6.3403	2.83247	40.5	0	0
-6.36252	-0.946114	40.5	0	0
-5.91429	0.9334	40.5	0	0
2.32071	-0.900029	38.7359	0	0
-2.44817	2.2193	40.5	0	0
-6.13444	1.02907	40.5	0	0
-7.02528	6.16964	35.9955	0	0
-0.90147	-5.41315	40.5	0	0
-2.00931	0.31431	40.5	0	0
-1.28805	-5.66879	40.5	0	0
-3.75526	2.76126	40.5	0	0
-3.97835	2.1963	40.5	0	0
-3.07871	0.618246	40.5	0	0
-2.4306	-6.1428	40.5	0	0
-4.05302	-2.04212	40.5	0	0
-6.16519	-2.04841	40.5	0	0
-4.66339	2.82467	40.5	0	0
-1.65025	5.93024	40.5	0	0
-1.82648	2.21872	40.5	0	0
-6.45392	2.82917	40.5	0	0
-6.65407	-3.14261	30.5874	16.3541	16.3541
-5.85574	0.404984	40.5	0	0
-4.98498	0.996629	40.5	0	0
-1.62037	6.67129	40.5	0	0
-2.09348	1.32204	40.5	0	0
-3.69118	-2.66041	40.5	0	0
-5.77575	4.61872	40.5	0	0
-2.86134	2.50497	40.5	0	0
-6.46019	-5.8685	40.5	0	0
-5.80481	-5.67063	40.5	0	0
-0.760652	-3.50421	40.5	0	0
-2.41502	5.96167	40.4002	0	0
-1.55518	-2.90533	40.5	0	0
-1.59811	-0.954558	40.5	0	0
-5.45623	0.256075	39.8081	0	0
-1.17417	5.37989	40.5	20.25	20.25
-2.56571	-6.24109	40.1658	0	0
3.1584	-4.34184	40.4576	0	0
4.22768	-4.57234	38.8704	0	0
-1.49493	-1.73096	40.5	0	0
-2.10947	-1.13815	40.5	0	0
-1.67003	-0.98278	40.5	0	0
-5.65107	-4.56188	40.5	0	0
-2.22869	2.62695	40.5	0	0
-0.950562	-0.959053	40.5	0	0
-0.219225	-2.41872	40.5	0	0
-6.93439	-3.54005	40.5	0	0
-2.22304	-2.05151	40.5	0	0
-4.59851	5.44137	40.5	0	0
4.31695	-0.637321	40.3161	0	0
-2.8264	2.98172	40.5	0	0
-2.31718	-5.57405	40.5	0	0
-3.45725	-5.8402	40.5	0	0
-4.72962	-2.79063	40.5	0	0
-5.56216	-6.49934	40.5	0	0
-5.07427	-0.95606	40.5	0	0
-3.02487	-3.53067	38.763	0	0
-0.456259	-0.868436	40.5	0	0
0.465552	-3.70649	39.3041	0	0
-5.88645	-1.02309	40.5	0	0
-3.50355	-3.05729	40.5	0	0
2.09913	-4.60387	39.9026	0	0
-2.66302	0.852086	40.5	0	0
0.00961511	7.01643	38.2267	0	0
-4.30616	-5.58474	40.5	0	0
-3.11959	4.87504	40.5	0	0
-1.72185	-1.76296	40.5	0	0
-4.2876	-1.14588	40.5	0	0
-0.878177	6.46389	40.4616	0	0
-4.50105	-1.82452	40.5	0	0
-2.05534	0.43112	40.5	0	0
-2.95903	2.05996	40.5	0	0
-5.10851	-1.28967	40.5	0	0
-3.78382	6.29209	40.5	0	0
-5.52604	-2.80494	40.5	0	0
-1.53681	5.01152	40.5	0	0
-3.608	6.67619	40.5	0	0
-6.81629	-2.97675	40.5	0	0
-5.2802	-1.84478	40.5	0	0
-0.526889	-3.73859	40.5	0	0
-3.09699	-3.53202	40.5	0	0
